0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:32:30 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:32:32 +0800] "POST /Proxy.ashx?path=/user/login/anhuigaosu/123456/info HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:04 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 12003
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:04 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:07 +0800] "POST /Proxy.ashx?path=/user/login/anhuigaosu/123456/info HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:09 +0800] "POST /Proxy.ashx?path=/user/login/anhuigaosu/123456/info HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/login.jsp HTTP/1.1" 200 12003
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/css/metro.css HTTP/1.1" 200 13372
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/uniform/css/uniform.default.css HTTP/1.1" 200 10635
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 105939
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/font-awesome/css/font-awesome.css HTTP/1.1" 200 19557
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/css/style_responsive.css HTTP/1.1" 200 7188
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/css/style.css HTTP/1.1" 200 91651
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/js/jquery-1.8.3.min.js HTTP/1.1" 200 93639
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/uipackage/uiTheme.js HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:33:15 +0800] "GET /SecureCloud/resource/library/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 28538
